Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",19.050000,-42.164000,90.000000,bottom
"C2","22pF","C_0805_2012Metric",21.590000,-42.164000,90.000000,bottom
"C3","1µF","C_0805_2012Metric",13.716000,-52.324000,270.000000,bottom
"C4","100nF","C_0805_2012Metric",24.384000,-45.212000,0.000000,bottom
"C5","100nF","C_0805_2012Metric",31.496000,-50.800000,0.000000,bottom
"C6","100nF","C_0805_2012Metric",19.177000,-60.452000,270.000000,bottom
"C7","100nF","C_0805_2012Metric",15.875000,-52.324000,270.000000,bottom
"C8","10µF","C_0805_2012Metric",15.113000,-49.403000,180.000000,bottom
"C9","100nF","C_0805_2012Metric",42.291000,-61.595000,180.000000,bottom
"C10","100nF","C_0805_2012Metric",41.402000,-35.052000,180.000000,bottom
"C11","10µF","C_0805_2012Metric",44.958000,-35.052000,0.000000,bottom
"C12","220pF","C_0805_2012Metric",48.768000,-36.068000,180.000000,bottom
"C13","220pF","C_0805_2012Metric",48.768000,-42.164000,180.000000,bottom
"C14","4.7nF","C_0805_2012Metric",23.368000,-77.724000,180.000000,bottom
"C15","10µF","C_0805_2012Metric",41.148000,-73.406000,90.000000,bottom
"C16","10µF","C_0805_2012Metric",48.006000,-75.438000,270.000000,bottom
"C17","150µF","CP_EIA-6032-20_AVX-F",27.305000,-40.767000,180.000000,bottom
"C18","47µF","CP_EIA-3528-15_AVX-H",20.447000,-29.337000,180.000000,bottom
"C19","100nF","C_0805_2012Metric",32.004000,-11.684000,180.000000,bottom
"D1","ORANGE","LED_0805_2012Metric",25.908000,-83.058000,90.000000,bottom
"D2","STF202","TSOP-6_1.65x3.05mm_P0.95mm",29.464000,-72.390000,0.000000,bottom
"D3","RED","LED_0805_2012Metric",40.132000,-83.058000,90.000000,bottom
"J3","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",33.020000,-78.994000,180.000000,bottom
"J6","POWER","PinHeader_2x03_P2.54mm_Vertical_SMD",22.860000,-19.685000,270.000000,bottom
"J7","EXP","PinHeader_2x03_P2.54mm_Vertical_SMD",27.940000,-32.385000,90.000000,bottom
"L1","Choke","L_0805_2012Metric",48.768000,-38.100000,0.000000,bottom
"L2","Choke","L_0805_2012Metric",48.768000,-40.132000,0.000000,bottom
"Q1","2N7002","SOT-23",16.891000,-36.576000,180.000000,bottom
"Q2","2N7002","SOT-23",16.891000,-32.893000,180.000000,bottom
"Q3","2N7002","SOT-23",47.371000,-18.034000,180.000000,bottom
"R1","220R","R_0805_2012Metric",26.416000,-60.452000,90.000000,bottom
"R2","10k","R_0805_2012Metric",19.812000,-36.576000,270.000000,bottom
"R3","10k","R_0805_2012Metric",19.812000,-32.893000,270.000000,bottom
"R4","10k","R_0805_2012Metric",21.971000,-36.576000,270.000000,bottom
"R5","10k","R_0805_2012Metric",21.971000,-32.893000,270.000000,bottom
"R6","100k","R_0805_2012Metric",39.497000,-38.608000,90.000000,bottom
"R7","1M","R_0805_2012Metric",23.368000,-75.438000,180.000000,bottom
"R8","2k","R_0805_2012Metric",44.196000,-70.358000,0.000000,bottom
"R9","1k","R_0805_2012Metric",48.768000,-72.390000,180.000000,bottom
"R10","10k","R_0805_2012Metric",38.100000,-11.684000,0.000000,bottom
"R12","1k","R_0805_2012Metric",47.371000,-21.590000,180.000000,bottom
"R13","1k","R_0805_2012Metric",26.543000,-12.319000,0.000000,bottom
"R14","100k","R_0805_2012Metric",51.562000,-21.590000,0.000000,bottom
"R15","10k","R_0805_2012Metric",50.292000,-18.034000,270.000000,bottom
"R16","10k","R_0805_2012Metric",52.451000,-18.034000,270.000000,bottom
"SW2","LATCH","SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010",16.764000,-82.677000,180.000000,bottom
"U1","ATSAMD21","TQFP-48_7x7mm_P0.5mm",23.368000,-52.578000,270.000000,bottom
"U2","MAX98357","QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias",43.688000,-39.116000,0.000000,bottom
"U3","MCP73831","SOT-23-5",44.196000,-73.406000,180.000000,bottom
"U4","ATtiny85-20SU","SOIJ-8_5.3x5.3mm_P1.27mm",35.052000,-16.002000,180.000000,bottom
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",20.320000,-45.212000,180.000000,bottom
"BT1","18650","18650-holder",22.352000,-45.212000,90.000000,top
"BT2","18650","18650-holder",43.688000,-45.212000,90.000000,top
"C20","10µF","C_0805_2012Metric",57.404000,-30.861000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.404000,-26.162000,90.000000,top
"F1","750mA","Fuse_1206_3216Metric",56.896000,-77.470000,0.000000,top
"F2","750mA","Fuse_1206_3216Metric",56.896000,-79.756000,0.000000,top
"J1","JTAG","PinHeader_2x05_P1.27mm_Vertical_SMD",6.096000,-66.802000,0.000000,top
"R11","10k","Potentiometer_Bourns_3269W_Vertical",58.166000,-15.748000,0.000000,top
"SW1","RESET","SW_SPST_EVQPE1",9.144000,-75.692000,90.000000,top
