Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number
"U1","ATSAMD21G18A-AUT","Package_QFP:TQFP-48_7x7mm_P0.5mm","lib/datasheets/ATSAM-D21.pdf","Microchip","ATSAMD21G18A-AU"
"U2","MAX98357","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias","lib/datasheets/MAX98357.pdf","Maxim Integrated","MAX98357AETE+T"
"C12","220pF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21C221JBANNNC"
"J2","Micro_SD_Card","5009010801:5009010801","lib/datasheets/5009010801.pdf","Molex","500901-0801"
"Q1","2N7002","Package_TO_SOT_SMD:SOT-23","lib/datasheets/NX7002AK.pdf","Nexperia","NX7002AKVL"
"R2","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"R4","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"Q2","2N7002","Package_TO_SOT_SMD:SOT-23","lib/datasheets/NX7002AK.pdf","Nexperia","NX7002AKVL"
"R3","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"R5","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"SW1","RESET","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","lib/datasheets/PTS636.pdf","C&K Switches","PTS636 SP43 SMTR LFS"
"Y1","32.768kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","lib/datasheets/FC-135.pdf","Epson","FC-135 32.7680KA-A5"
"C1","22pF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21C220JBANFNC"
"C2","22pF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21C220JBANFNC"
"R1","220R","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-221ELF"
"D1","ORANGE","LED_SMD:LED_0805_2012Metric","lib/datasheets/LO-R976.pdf","Osram","LO R976-PS-1-0-20-R18"
"C10","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"L1","Choke","Inductor_SMD:L_0805_2012Metric","lib/datasheets/BKPxxxxxxxx.pdf","Taiyo Yuden","BKP2125HS331-T"
"LS1","Speaker","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","lib/datasheets/10129379.pdf","Amphenol","10129379-902001BLF"
"L2","Choke","Inductor_SMD:L_0805_2012Metric","lib/datasheets/BKPxxxxxxxx.pdf","Taiyo Yuden","BKP2125HS331-T"
"C13","220pF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21C221JBANNNC"
"R6","100k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07100KL"
"C11","10µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21A106KOQNNNE"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"C8","10µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21A106KOQNNNE"
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"C3","1µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21B105KAFNNNE"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"J1","JTAG","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","lib/datasheets/20021121.pdf","Amphenol","20021121-00010D4LF"
"BT1","18650","18650-holder:18650-holder",""
"J4","VBAT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","lib/datasheets/10129378.pdf","Amphenol","10129378-902003BLF"
"J5","SWITCH","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","lib/datasheets/10129378.pdf","Amphenol","10129378-902003BLF"
"U3","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","lib/datasheets/MCP73831.pdf","Microchip","MCP73831T-2ACI/OT"
"J3","USB_B_Mini","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","lib/datasheets/UJ2-MBH.pdf","CUI Devices","UJ2-MBH-1-SMT-TR"
"J6","POWER","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","lib/datasheets/10129383.pdf","Amphenol","10129383-906002BLF"
"C14","4.7nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C472K5RACTU"
"R7","1M","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-FX-1004ELF"
"R9","1k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-102ELF"
"D3","RED","LED_SMD:LED_0805_2012Metric","lib/datasheets/AP2012SRCPRV.pdf","Kingbright","AP2012SRCPRV"
"F1","750mA","Fuse:Fuse_1206_3216Metric","lib/datasheets/0ZCJ_series.pdf","Bel","0ZCJ0075AF2E"
"BT2","18650","18650-holder:18650-holder",""
"F2","750mA","Fuse:Fuse_1206_3216Metric","lib/datasheets/0ZCJ_series.pdf","Bel","0ZCJ0075AF2E"
"R8","2k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-202ELF"
"SW2","LATCH","Button_Switch_SMD:SW_SPST_B3U-3000P","lib/datasheets/SKRTLAE010.pdf","Alps Alpine","SKRTLAE010"
"J7","EXP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","lib/datasheets/10129383.pdf","Amphenol","10129383-906002BLF"
"D2","STF202-22T1G","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","lib/datasheets/STF202.pdf","OnSemi","STF202-22T1G"
"C16","10µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21A106KOQNNNE"
"C15","10µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21A106KOQNNNE"
"C17","150µF","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F","","AVX","TAJC157M010RNJ"
"C18","47µF","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H","","AVX","TAJB476K006RNJ"
"U4","ATtiny85-20SU","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","lib/datasheets/ATtiny85.pdf","Microchip","ATTINY85-20SU"
"D4","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","lib/datasheets/WS2812B.pdf","Worldsemi","WS2812B"
"J9","RX_MODULE","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"C19","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M5RACTU"
"R12","1k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-102ELF"
"R11","10k","Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical","lib/datasheets/3361.pdf","Bourns","3361P-1-103GLF"
"J8","ISP","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"R10","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"Q3","2N7002","Package_TO_SOT_SMD:SOT-23","lib/datasheets/NX7002AK.pdf","Nexperia","NX7002AKVL"
"R15","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"R16","10k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-103ELF"
"R13","1k","Resistor_SMD:R_0805_2012Metric","","Bourns","CR0805-JW-102ELF"
"C20","10µF","Capacitor_SMD:C_0805_2012Metric","","Samsung Electro-Mechanics","CL21A106KOQNNNE"
"R14","100k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07100KL"
